NumBlocks 80
MinAspectRatio 0.5
MaxAspectRatio 2
block_0 815 675
block_1 595 925
block_2 530 1040
block_3 620 895
block_4 630 875
block_5 910 605
block_6 540 1020
block_7 650 850
block_8 750 735
block_9 655 845
block_10 685 805
block_11 980 565
block_12 700 790
block_13 530 1050
block_14 610 905
block_15 580 955
block_16 780 710
block_17 700 790
block_18 720 770
block_19 710 780
block_20 705 785
block_21 605 915
block_22 570 965
block_23 580 950
block_24 640 865
block_25 865 640
block_26 780 710
block_27 785 705
block_28 745 745
block_29 625 885
block_30 705 785
block_31 960 575
block_32 910 605
block_33 710 775
block_34 565 980
block_35 930 595
block_36 620 890
block_37 630 880
block_38 625 885
block_39 635 870
block_40 780 710
block_41 645 855
block_42 575 965
block_43 590 935
block_44 810 680
block_45 760 725
block_46 620 895
block_47 810 680
block_48 550 1005
block_49 665 835
block_50 690 805
block_51 935 595
block_52 875 635
block_53 570 970
block_54 725 760
block_55 620 890
block_56 720 770
block_57 575 965
block_58 605 915
block_59 705 785
block_60 680 810
block_61 1000 550
block_62 805 685
block_63 675 820
block_64 905 610
block_65 540 1020
block_66 680 810
block_67 690 800
block_68 660 840
block_69 590 940
block_70 805 685
block_71 780 705
block_72 625 880
block_73 590 935
block_74 750 735
block_75 735 755
block_76 680 815
block_77 620 895
block_78 1035 535
block_79 660 835
